Internship_ID,Title,Sector,Location,Mode,Industry_Type,Job_Description,Skills_Required,Min_Education_Level,Min_CGPA
I015,John Deere India - Agriculture Internship 15,Agriculture,Kolkata,In-person,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I016,Mahindra Tractors - Agriculture Internship 16,Agriculture,Delhi,In-person,PSU,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I017,Mahindra Tractors - Agriculture Internship 17,Agriculture,Chennai,In-person,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I018,Wipro - IT Internship 18,IT,Mumbai,Hybrid,PSU,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I019,Apollo Hospitals - Healthcare Internship 19,Healthcare,Ahmedabad,Remote,MSME,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I020,Infosys - IT Internship 20,IT,Pune,In-person,PSU,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I021,MakeMyTrip - Tourism Internship 21,Tourism,Delhi,Remote,PSU,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I022,Mahindra - Manufacturing Internship 22,Manufacturing,Chennai,In-person,Startup,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I023,HDFC Bank - Finance Internship 23,Finance,Pune,Hybrid,MSME,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I024,IFFCO - Agriculture Internship 24,Agriculture,Mumbai,Remote,PSU,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I025,Unacademy - Education Internship 25,Education,Pune,Remote,Startup,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I026,Tata Steel - Manufacturing Internship 26,Manufacturing,Bengaluru,In-person,MSME,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I027,Godrej - Manufacturing Internship 27,Manufacturing,Mumbai,In-person,Startup,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I028,Godrej - Manufacturing Internship 28,Manufacturing,Ahmedabad,Hybrid,Corporate,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I029,Sun Pharma - Healthcare Internship 29,Healthcare,Pune,Remote,Corporate,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I030,Tech Mahindra - IT Internship 30,IT,Ahmedabad,In-person,PSU,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I031,SBI - Finance Internship 31,Finance,Mumbai,Hybrid,PSU,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I032,Tata Power - Energy Internship 32,Energy,Pune,Hybrid,PSU,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I033,NABARD - Agriculture Internship 33,Agriculture,Delhi,Hybrid,Corporate,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I034,Infosys - IT Internship 34,IT,Hyderabad,In-person,MSME,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I035,BHEL - Manufacturing Internship 35,Manufacturing,Delhi,Remote,PSU,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I036,IFFCO - Agriculture Internship 36,Agriculture,Ahmedabad,In-person,PSU,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I037,Dr. Reddy's - Healthcare Internship 37,Healthcare,Chennai,Remote,PSU,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I038,Godrej - Manufacturing Internship 38,Manufacturing,Ahmedabad,Remote,PSU,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I039,IHCL - Tourism Internship 39,Tourism,Pune,Hybrid,MSME,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I040,L&T - Manufacturing Internship 40,Manufacturing,Bengaluru,Hybrid,Startup,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I041,Yatra - Tourism Internship 41,Tourism,Bengaluru,Hybrid,Startup,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I042,Fortis - Healthcare Internship 42,Healthcare,Pune,Remote,Corporate,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I043,Wipro - IT Internship 43,IT,Chennai,Hybrid,Corporate,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I044,Tata Steel - Manufacturing Internship 44,Manufacturing,Chennai,Remote,Corporate,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I045,John Deere India - Agriculture Internship 45,Agriculture,Bengaluru,Remote,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I046,Tata Power - Energy Internship 46,Energy,Hyderabad,In-person,MSME,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I047,L&T - Manufacturing Internship 47,Manufacturing,Ahmedabad,Remote,PSU,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I048,BYJU'S - Education Internship 48,Education,Bengaluru,Hybrid,Corporate,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I049,Mahindra - Manufacturing Internship 49,Manufacturing,Hyderabad,Hybrid,MSME,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I050,Tata Power - Energy Internship 50,Energy,Ahmedabad,In-person,Startup,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I051,HCLTech - IT Internship 51,IT,Chennai,Hybrid,Corporate,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I052,NABARD - Agriculture Internship 52,Agriculture,Ahmedabad,In-person,PSU,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I053,Unacademy - Education Internship 53,Education,Kolkata,Hybrid,PSU,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I054,BHEL - Manufacturing Internship 54,Manufacturing,Kolkata,In-person,MSME,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I055,IFFCO - Agriculture Internship 55,Agriculture,Pune,Remote,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I056,NIIT - Education Internship 56,Education,Chennai,Hybrid,Startup,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I057,Max Healthcare - Healthcare Internship 57,Healthcare,Hyderabad,Hybrid,MSME,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I058,HCLTech - IT Internship 58,IT,Pune,Remote,PSU,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I059,Tech Mahindra - IT Internship 59,IT,Bengaluru,Hybrid,PSU,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I060,Thomas Cook - Tourism Internship 60,Tourism,Hyderabad,Hybrid,Corporate,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I061,HDFC Bank - Finance Internship 61,Finance,Bengaluru,Hybrid,PSU,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I062,Tata Power - Energy Internship 62,Energy,Hyderabad,Remote,MSME,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I063,Max Healthcare - Healthcare Internship 63,Healthcare,Chennai,Remote,Startup,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I064,NABARD - Agriculture Internship 64,Agriculture,Pune,Remote,Startup,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I065,John Deere India - Agriculture Internship 65,Agriculture,Hyderabad,In-person,Startup,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I066,Tata Steel - Manufacturing Internship 66,Manufacturing,Hyderabad,Remote,PSU,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I067,Reliance - Energy Internship 67,Energy,Bengaluru,In-person,Startup,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I068,BHEL - Manufacturing Internship 68,Manufacturing,Kolkata,In-person,Startup,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I069,Tata Agrico - Agriculture Internship 69,Agriculture,Delhi,Remote,Corporate,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I070,MakeMyTrip - Tourism Internship 70,Tourism,Hyderabad,Remote,PSU,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I071,HCLTech - IT Internship 71,IT,Ahmedabad,Remote,Startup,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I072,Yatra - Tourism Internship 72,Tourism,Bengaluru,In-person,Corporate,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I073,Fortis - Healthcare Internship 73,Healthcare,Kolkata,Remote,MSME,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I074,John Deere India - Agriculture Internship 74,Agriculture,Ahmedabad,Hybrid,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I075,Thomas Cook - Tourism Internship 75,Tourism,Delhi,Hybrid,PSU,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I076,Vedantu - Education Internship 76,Education,Bengaluru,Remote,Corporate,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I077,ICICI Bank - Finance Internship 77,Finance,Pune,Hybrid,Startup,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I078,Kotak - Finance Internship 78,Finance,Hyderabad,In-person,MSME,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I079,Vedantu - Education Internship 79,Education,Bengaluru,In-person,Corporate,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I080,Fortis - Healthcare Internship 80,Healthcare,Hyderabad,Remote,PSU,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I081,SBI - Finance Internship 81,Finance,Bengaluru,In-person,Corporate,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I082,Yatra - Tourism Internship 82,Tourism,Pune,Remote,MSME,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I083,Apollo Hospitals - Healthcare Internship 83,Healthcare,Mumbai,Remote,PSU,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I084,Tata Agrico - Agriculture Internship 84,Agriculture,Kolkata,In-person,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I085,Reliance - Energy Internship 85,Energy,Delhi,Remote,Startup,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I086,Fortis - Healthcare Internship 86,Healthcare,Kolkata,In-person,Corporate,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I087,Vedantu - Education Internship 87,Education,Chennai,Hybrid,Startup,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I088,upGrad - Education Internship 88,Education,Mumbai,In-person,Startup,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I089,Infosys - IT Internship 89,IT,Ahmedabad,Remote,Startup,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I090,NIIT - Education Internship 90,Education,Chennai,Hybrid,Corporate,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I091,Adani - Energy Internship 91,Energy,Chennai,Remote,MSME,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I092,upGrad - Education Internship 92,Education,Pune,Hybrid,MSME,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I093,NTPC - Energy Internship 93,Energy,Mumbai,Hybrid,Startup,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I094,HDFC Bank - Finance Internship 94,Finance,Hyderabad,In-person,Corporate,"Assist in financial data analysis, reporting, and budgeting tasks.","['Accounting', 'Analysis', 'Budgeting', 'Data Analysis', 'Excel', 'Reporting']",Graduate,6.0
I095,BHEL - Manufacturing Internship 95,Manufacturing,Pune,Hybrid,Startup,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I096,Godrej - Manufacturing Internship 96,Manufacturing,Delhi,Remote,MSME,"Work on production process documentation, quality checks, and supply chain data.","['Chain', 'Checks', 'Data Analysis', 'Documentation', 'Process', 'Quality', 'Quality Checks', 'Supply', 'Supply Chain']",Diploma,5.0
I097,Fortis - Healthcare Internship 97,Healthcare,Hyderabad,Hybrid,Startup,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I098,Infosys - IT Internship 98,IT,Hyderabad,Hybrid,MSME,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I099,Tata Power - Energy Internship 99,Energy,Mumbai,Remote,PSU,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I100,ONGC - Energy Internship 100,Energy,Chennai,Hybrid,Startup,"Support renewable energy projects, data analysis, and field operations.","['Analysis', 'Data Analysis', 'Energy', 'Field', 'Field Operations', 'Renewable', 'Renewable Energy', 'Reporting', 'Support']",Graduate,6.0
I101,Tech Mahindra - IT Internship 101,IT,Kolkata,Remote,Startup,"Assist in software development, debugging, and cloud deployment projects.","['APIs', 'Cloud', 'Debugging', 'Python', 'SQL', 'Software Development']",Graduate,6.5
I102,Unacademy - Education Internship 102,Education,Mumbai,In-person,Startup,"Work on digital content creation, e-learning modules, and tutoring support.","['Content', 'Content Creation', 'Creation', 'Curriculum', 'Digital Marketing', 'E-Learning', 'E-learning', 'Support', 'Tutoring']",Graduate,5.0
I103,IFFCO - Agriculture Internship 103,Agriculture,Pune,Hybrid,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I104,Dr. Reddy's - Healthcare Internship 104,Healthcare,Kolkata,Hybrid,Corporate,"Support health data collection, analysis, and digital record management.","['Analysis', 'Collection', 'Data Analysis', 'Data Collection', 'Digital Marketing', 'Digital Records', 'Documentation', 'Support']",Graduate,5.5
I105,IRCTC - Tourism Internship 105,Tourism,Chennai,In-person,MSME,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I106,John Deere India - Agriculture Internship 106,Agriculture,Bengaluru,In-person,PSU,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
I107,IHCL - Tourism Internship 107,Tourism,Delhi,Hybrid,PSU,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I108,Thomas Cook - Tourism Internship 108,Tourism,Delhi,In-person,Corporate,"Assist in tourism promotion, digital campaigns, and event coordination.","['Campaigns', 'Communication', 'Content Creation', 'Coordination', 'Digital Marketing', 'Event Coordination']",12th Pass,4.5
I109,IFFCO - Agriculture Internship 109,Agriculture,Kolkata,Remote,MSME,"Help with agri-tech solutions, data collection, and field support activities.","['Agri', 'Agri-tech', 'Collection', 'Data Analysis', 'Data Collection', 'Field', 'Field Support', 'GIS', 'Support']",Diploma,4.5
